"Date","Source","Site ID","POC","O3","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2023","AQS","420030008","1","0.021","ppm","19","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/02/2023","AQS","420030008","1","0","ppm","0","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/03/2023","AQS","420030008","1","0.019","ppm","18","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/04/2023","AQS","420030008","1","0.022","ppm","20","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/05/2023","AQS","420030008","1","0.032","ppm","30","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/06/2023","AQS","420030008","1","0.015","ppm","14","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/07/2023","AQS","420030008","1","0.021","ppm","19","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/08/2023","AQS","420030008","1","0.023","ppm","21","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/09/2023","AQS","420030008","1","0.024","ppm","22","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/10/2023","AQS","420030008","1","0.019","ppm","18","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/11/2023","AQS","420030008","1","0.019","ppm","18","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/12/2023","AQS","420030008","1","0.018","ppm","17","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/13/2023","AQS","420030008","1","0.028","ppm","26","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/14/2023","AQS","420030008","1","0.033","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/15/2023","AQS","420030008","1","0.027","ppm","25","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/16/2023","AQS","420030008","1","0.008","ppm","7","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/17/2023","AQS","420030008","1","0.025","ppm","23","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/18/2023","AQS","420030008","1","0.014","ppm","13","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/19/2023","AQS","420030008","1","0.029","ppm","27","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/20/2023","AQS","420030008","1","0.019","ppm","18","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/21/2023","AQS","420030008","1","0.023","ppm","21","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/22/2023","AQS","420030008","1","0.01","ppm","9","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/23/2023","AQS","420030008","1","0.024","ppm","22","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/24/2023","AQS","420030008","1","0.021","ppm","19","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/25/2023","AQS","420030008","1","0.026","ppm","24","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/26/2023","AQS","420030008","1","0.022","ppm","20","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/27/2023","AQS","420030008","1","0.028","ppm","26","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/28/2023","AQS","420030008","1","0.032","ppm","30","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/29/2023","AQS","420030008","1","0.027","ppm","25","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/30/2023","AQS","420030008","1","0.022","ppm","20","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"01/31/2023","AQS","420030008","1","0.028","ppm","26","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/01/2023","AQS","420030008","1","0.031","ppm","29","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/02/2023","AQS","420030008","1","0.031","ppm","29","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/03/2023","AQS","420030008","1","0.033","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/04/2023","AQS","420030008","1","0.029","ppm","27","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/05/2023","AQS","420030008","1","0.034","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/06/2023","AQS","420030008","1","0.028","ppm","26","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/07/2023","AQS","420030008","1","0.032","ppm","30","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/08/2023","AQS","420030008","1","0.024","ppm","22","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/09/2023","AQS","420030008","1","0.036","ppm","33","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/10/2023","AQS","420030008","1","0.03","ppm","28","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/11/2023","AQS","420030008","1","0.031","ppm","29","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/12/2023","AQS","420030008","1","0.029","ppm","27","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/13/2023","AQS","420030008","1","0.037","ppm","34","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/14/2023","AQS","420030008","1","0.031","ppm","29","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/15/2023","AQS","420030008","1","0.041","ppm","38","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/16/2023","AQS","420030008","1","0.03","ppm","28","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/17/2023","AQS","420030008","1","0.032","ppm","30","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/18/2023","AQS","420030008","1","0.03","ppm","28","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/19/2023","AQS","420030008","1","0.04","ppm","37","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/20/2023","AQS","420030008","1","0.033","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/21/2023","AQS","420030008","1","0.038","ppm","35","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/22/2023","AQS","420030008","1","0.016","ppm","15","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/23/2023","AQS","420030008","1","0.037","ppm","34","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/24/2023","AQS","420030008","1","0.033","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/25/2023","AQS","420030008","1","0.028","ppm","26","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/26/2023","AQS","420030008","1","0.036","ppm","33","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/27/2023","AQS","420030008","1","0.024","ppm","22","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"02/28/2023","AQS","420030008","1","0.032","ppm","30","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/01/2023","AQS","420030008","1","0.04","ppm","37","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/02/2023","AQS","420030008","1","0.039","ppm","36","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/03/2023","AQS","420030008","1","0.027","ppm","25","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/04/2023","AQS","420030008","1","0.039","ppm","36","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/05/2023","AQS","420030008","1","0.042","ppm","39","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/06/2023","AQS","420030008","1","0.037","ppm","34","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/07/2023","AQS","420030008","1","0.04","ppm","37","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/08/2023","AQS","420030008","1","0.037","ppm","34","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/09/2023","AQS","420030008","1","0.035","ppm","32","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/10/2023","AQS","420030008","1","0.032","ppm","30","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/11/2023","AQS","420030008","1","0.033","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/12/2023","AQS","420030008","1","0.03","ppm","28","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/13/2023","AQS","420030008","1","0.03","ppm","28","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/14/2023","AQS","420030008","1","0.034","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/15/2023","AQS","420030008","1","0.039","ppm","36","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/16/2023","AQS","420030008","1","0.044","ppm","41","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/17/2023","AQS","420030008","1","0.036","ppm","33","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/18/2023","AQS","420030008","1","0.038","ppm","35","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/19/2023","AQS","420030008","1","0.034","ppm","31","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/20/2023","AQS","420030008","1","0.038","ppm","35","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/21/2023","AQS","420030008","1","0.042","ppm","39","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/22/2023","AQS","420030008","1","0.041","ppm","38","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/23/2023","AQS","420030008","1","0.029","ppm","27","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/24/2023","AQS","420030008","1","0.032","ppm","30","Lawrenceville","14","82.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/25/2023","AQS","420030008","1","0.045","ppm","42","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/26/2023","AQS","420030008","1","0.047","ppm","44","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/27/2023","AQS","420030008","1","0.04","ppm","37","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/28/2023","AQS","420030008","1","0.045","ppm","42","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/29/2023","AQS","420030008","1","0.048","ppm","44","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/30/2023","AQS","420030008","1","0.042","ppm","39","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"03/31/2023","AQS","420030008","1","0.039","ppm","36","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/01/2023","AQS","420030008","1","0.043","ppm","40","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/02/2023","AQS","420030008","1","0.045","ppm","42","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/03/2023","AQS","420030008","1","0.046","ppm","43","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/04/2023","AQS","420030008","1","0.046","ppm","43","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/05/2023","AQS","420030008","1","0.036","ppm","33","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/06/2023","AQS","420030008","1","0.035","ppm","32","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/07/2023","AQS","420030008","1","0.044","ppm","41","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/08/2023","AQS","420030008","1","0.046","ppm","43","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/09/2023","AQS","420030008","1","0.049","ppm","45","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/10/2023","AQS","420030008","1","0.053","ppm","49","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/11/2023","AQS","420030008","1","0.059","ppm","64","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/12/2023","AQS","420030008","1","0.053","ppm","49","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/13/2023","AQS","420030008","1","0.062","ppm","74","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/14/2023","AQS","420030008","1","0.06","ppm","67","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/15/2023","AQS","420030008","1","0.05","ppm","46","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/16/2023","AQS","420030008","1","0.044","ppm","41","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/17/2023","AQS","420030008","1","0.035","ppm","32","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/18/2023","AQS","420030008","1","0.041","ppm","38","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/19/2023","AQS","420030008","1","0.052","ppm","48","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/20/2023","AQS","420030008","1","0.061","ppm","71","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/21/2023","AQS","420030008","1","0.06","ppm","67","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/22/2023","AQS","420030008","1","0.04","ppm","37","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/23/2023","AQS","420030008","1","0.035","ppm","32","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/24/2023","AQS","420030008","1","0.036","ppm","33","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/25/2023","AQS","420030008","1","0.049","ppm","45","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/26/2023","AQS","420030008","1","0.049","ppm","45","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/27/2023","AQS","420030008","1","0.055","ppm","51","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
"04/28/2023","AQS","420030008","1","0.036","ppm","33","Lawrenceville","17","100.0000","44201","Ozone","047","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.4654203279986","-79.9607574502479"
